1,一,1,1,U+4E00,D2BB,yī,yi,1
2,乙,1,5,U+4E59,D2D2,yǐ,yi,3
3,二,2,11,U+4E8C,B6FE,èr,er,4
4,十,2,12,U+5341,CAAE,shí,shi,2
5,丁,2,12,U+4E01,B6A1,dīnɡ,ding,1
6,厂,2,13,U+5382,B3A7,chǎnɡ,chang,3
7,七,2,15,U+4E03,C6DF,qī,qi,1
8,卜,2,24,U+535C,B2B7,bo,bo,0
9,人,2,34,U+4EBA,C8CB,rén,ren,2
10,入,2,34,U+5165,C8EB,rù,ru,4
11,八,2,34,U+516B,B0CB,bā,ba,1
12,九,2,35,U+4E5D,BEC5,jiǔ,jiu,3
13,几,2,35,U+51E0,BCB8,jǐ,ji,3
14,儿,2,35,U+513F,B6F9,ér,er,2
15,了,2,52,U+4E86,C1CB,le,le,0
16,力,2,53,U+529B,C1A6,lì,li,4
17,乃,2,53,U+4E43,C4CB,nǎi,nai,3
18,刀,2,53,U+5200,B5B6,dāo,dao,1
19,又,2,54,U+53C8,D3D6,yòu,you,4
20,三,3,111,U+4E09,C8FD,sān,san,1
21,于,3,112,U+4E8E,D3DA,yú,yu,2
22,干,3,112,U+5E72,B8C9,ɡàn,gan,4
23,亏,3,115,U+4E8F,BFF7,kuī,kui,1
24,士,3,121,U+58EB,CABF,shì,shi,4
25,工,3,121,U+5DE5,B9A4,ɡōnɡ,gong,1
26,土,3,121,U+571F,CDC1,tǔ,tu,3
27,才,3,123,U+624D,B2C5,cái,cai,2
28,寸,3,124,U+5BF8,B4E7,cùn,cun,4
29,下,3,124,U+4E0B,CFC2,xià,xia,4
30,大,3,134,U+5927,B4F3,dà,da,4
31,丈,3,134,U+4E08,D5C9,zhànɡ,zhang,4
32,与,3,151,U+4E0E,D3EB,yǔ,yu,3
33,万,3,153,U+4E07,CDF2,wàn,wan,4
34,上,3,211,U+4E0A,C9CF,shànɡ,shang,4
35,小,3,234,U+5C0F,D0A1,xiǎo,xiao,3
36,口,3,251,U+53E3,BFDA,kǒu,kou,3
37,巾,3,252,U+5DFE,BDED,jīn,jin,1
38,山,3,252,U+5C71,C9BD,shān,shan,1
39,千,3,312,U+5343,C7A7,qiān,qian,1
40,乞,3,315,U+4E5E,C6F2,qǐ,qi,3
41,川,3,322,U+5DDD,B4A8,chuān,chuan,1
42,亿,3,325,U+4EBF,D2DA,yì,yi,4
43,个,3,342,U+4E2A,B8F6,ɡè,ge,4
44,勺,3,354,U+52FA,C9D7,sháo,shao,2
45,久,3,354,U+4E45,BEC3,jiǔ,jiu,3
46,凡,3,354,U+51E1,B7B2,fán,fan,2
