1,一,1,1,U+4E00,D2BB,yī,yi,1
2,丨,1,2,U+4E28,D8AD,shù,shu,4
3,亅,1,2,U+4E85,817C,jué,jue,2
4,丿,1,3,U+4E3F,D8AF,piě,pie,3
5,丶,1,4,U+4E36,D8BC,diǎn,dian,3
6,乁,1,4,U+4E41,8155,yí,yi,2
7,乀,1,4,U+4E40,8154,fú,fu,2
8,乛,1,5,U+4E5B,815E,wān,wan,1
9,乚,1,5,U+4E5A,815D,yīn,yin,1
10,乙,1,5,U+4E59,D2D2,yǐ,yi,3
11,二,2,11,U+4E8C,B6FE,èr,er,4
12,丅,2,12,U+4E05,8142,xià,xia,4
13,十,2,12,U+5341,CAAE,shí,shi,2
14,丁,2,12,U+4E01,B6A1,dīnɡ,ding,1
15,厂,2,13,U+5382,B3A7,chǎnɡ,chang,3
16,丆,2,13,U+4E06,8143,hǎn,han,3
17,匚,2,15,U+531A,D8CE,qū,qu,1
18,匸,2,15,U+5338,855B,xì,xi,4
19,七,2,15,U+4E03,C6DF,qī,qi,1
20,丂,2,15,U+4E02,8140,yú,yu,2
21,丄,2,21,U+4E04,8141,shànɡ,shang,4
22,刂,2,22,U+5202,D8D6,cè,ce,4
23,卜,2,24,U+535C,B2B7,bo,bo,0
24,冂,2,25,U+5182,D8E7,tónɡ,tong,2
25,亻,2,32,U+4EBB,D8E9,dān,dan,1
26,八,2,34,U+516B,B0CB,bā,ba,1
27,人,2,34,U+4EBA,C8CB,rén,ren,2
28,入,2,34,U+5165,C8EB,rù,ru,4
29,乂,2,34,U+4E42,8156,ài,ai,4
30,勹,2,35,U+52F9,D9E8,bāo,bao,1
31,儿,2,35,U+513F,B6F9,ér,er,2
32,匕,2,35,U+5315,D8B0,bǐ,bi,3
33,几,2,35,U+51E0,BCB8,jǐ,ji,3
34,九,2,35,U+4E5D,BEC5,jiǔ,jiu,3
35,亠,2,41,U+4EA0,D9EF,wén,wen,2
36,冫,2,41,U+51AB,D9FB,liǎnɡ,liang,3
37,丷,2,43,U+4E37,8152,bā,ba,1
38,冖,2,45,U+5196,DAA2,pínɡ,ping,2
39,讠,2,45,U+8BA0,DAA5,yán,yan,2
40,刁,2,51,U+5201,B5F3,diāo,diao,1
41,了,2,52,U+4E86,C1CB,le,le,0
42,凵,2,52,U+51F5,DBC9,shān,shan,1
43,丩,2,52,U+4E29,814C,jiū,jiu,1
44,卩,2,52,U+5369,DAE0,dān,dan,1
45,阝,2,52,U+961D,DAE2,zuǒ,zuo,3
46,刀,2,53,U+5200,B5B6,dāo,dao,1
47,力,2,53,U+529B,C1A6,lì,li,4
48,乃,2,53,U+4E43,C4CB,nǎi,nai,3
49,又,2,54,U+53C8,D3D6,yòu,you,4
50,厶,2,54,U+53B6,DBCC,sī,si,1
51,乄,2,54,U+4E44,8157,wǔ,wu,3
52,廴,2,54,U+5EF4,DBC8,jiàn,jian,4
53,巜,2,55,U+5DDC,8E77,kuài,kuai,4
54,乜,2,55,U+4E5C,D8BF,niè,nie,4
